session_id,intent_actual,intent_predicted,disease_actual,disease_predicted,regional_success,task_completed,fallback_triggered,messages_per_session,csat_score,latency_ms
sess_0,disease_detection,disease_detection,powdery_mildew,powdery_mildew,1,1,0,13,5,531
sess_1,market_prices,market_prices,N/A,N/A,1,1,0,12,3,490
sess_2,crop_advisory,crop_advisory,N/A,N/A,1,1,0,3,5,493
sess_3,weather_forecast,weather_forecast,N/A,N/A,1,1,0,3,5,288
sess_4,disease_detection,disease_detection,healthy,healthy,1,1,0,3,5,482
sess_5,disease_detection,disease_detection,rust,rust,1,1,0,8,5,499
sess_6,disease_detection,disease_detection,healthy,healthy,0,0,0,2,5,432
sess_7,crop_advisory,crop_advisory,N/A,N/A,1,1,0,9,5,354
sess_8,crop_advisory,crop_advisory,N/A,N/A,1,0,0,10,4,335
sess_9,crop_advisory,crop_advisory,N/A,N/A,1,0,0,7,4,404
sess_10,disease_detection,market_prices,rust,rust,1,1,0,5,5,466
sess_11,market_prices,market_prices,N/A,N/A,1,0,0,4,5,405
sess_12,crop_advisory,crop_advisory,N/A,N/A,1,1,0,5,5,415
sess_13,disease_detection,disease_detection,healthy,healthy,1,1,0,6,3,464
sess_14,disease_detection,disease_detection,powdery_mildew,powdery_mildew,1,1,0,11,5,414
sess_15,disease_detection,disease_detection,healthy,healthy,1,1,0,9,5,385
sess_16,disease_detection,disease_detection,powdery_mildew,powdery_mildew,1,0,0,8,5,333
sess_17,weather_forecast,weather_forecast,N/A,N/A,1,1,0,8,3,495
sess_18,weather_forecast,weather_forecast,N/A,N/A,1,1,0,6,5,373
sess_19,disease_detection,disease_detection,rust,rust,1,1,0,6,4,372
sess_20,crop_advisory,crop_advisory,N/A,N/A,1,1,0,5,4,271
sess_21,disease_detection,disease_detection,leaf_blight,leaf_blight,1,0,0,5,5,474
sess_22,disease_detection,disease_detection,healthy,healthy,1,1,0,9,2,322
sess_23,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,4,5,361
sess_24,weather_forecast,disease_detection,N/A,N/A,1,1,0,3,3,384
sess_25,crop_advisory,crop_advisory,N/A,N/A,1,1,1,7,5,506
sess_26,disease_detection,disease_detection,healthy,healthy,1,0,0,3,5,510
sess_27,weather_forecast,weather_forecast,N/A,N/A,1,1,0,3,4,474
sess_28,weather_forecast,weather_forecast,N/A,N/A,0,0,0,4,5,392
sess_29,disease_detection,disease_detection,healthy,healthy,1,1,0,6,4,383
sess_30,crop_advisory,crop_advisory,N/A,N/A,1,1,0,4,4,379
sess_31,disease_detection,disease_detection,healthy,healthy,1,1,0,9,5,465
sess_32,disease_detection,disease_detection,healthy,healthy,1,1,0,6,4,467
sess_33,market_prices,market_prices,N/A,N/A,1,1,0,9,4,389
sess_34,market_prices,market_prices,N/A,N/A,1,1,1,4,5,473
sess_35,crop_advisory,crop_advisory,N/A,N/A,1,1,0,9,4,614
sess_36,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,1,11,5,517
sess_37,disease_detection,disease_detection,healthy,healthy,1,1,0,6,4,486
sess_38,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,5,416
sess_39,weather_forecast,weather_forecast,N/A,N/A,1,1,0,5,5,469
sess_40,disease_detection,disease_detection,rust,rust,1,0,0,3,4,473
sess_41,weather_forecast,weather_forecast,N/A,N/A,1,0,0,7,5,396
sess_42,disease_detection,disease_detection,rust,rust,1,0,0,8,4,346
sess_43,market_prices,market_prices,N/A,N/A,1,1,0,5,4,335
sess_44,disease_detection,disease_detection,rust,rust,0,1,0,6,5,480
sess_45,crop_advisory,crop_advisory,N/A,N/A,0,0,0,5,4,488
sess_46,disease_detection,disease_detection,healthy,healthy,1,1,0,7,4,407
sess_47,weather_forecast,weather_forecast,N/A,N/A,0,1,0,3,5,438
sess_48,weather_forecast,weather_forecast,N/A,N/A,1,1,0,5,5,442
sess_49,disease_detection,disease_detection,rust,rust,1,1,0,5,5,285
sess_50,market_prices,crop_advisory,N/A,N/A,1,1,1,3,3,255
sess_51,crop_advisory,crop_advisory,N/A,N/A,1,1,0,6,1,261
sess_52,market_prices,market_prices,N/A,N/A,1,1,0,10,5,364
sess_53,crop_advisory,crop_advisory,N/A,N/A,1,1,0,7,5,457
sess_54,weather_forecast,weather_forecast,N/A,N/A,1,1,0,4,5,468
sess_55,market_prices,market_prices,N/A,N/A,1,1,0,4,5,457
sess_56,disease_detection,disease_detection,powdery_mildew,healthy,1,1,0,7,5,378
sess_57,disease_detection,disease_detection,healthy,healthy,1,1,0,9,5,305
sess_58,disease_detection,disease_detection,healthy,healthy,1,1,0,5,5,335
sess_59,disease_detection,disease_detection,healthy,healthy,1,0,0,5,5,428
sess_60,disease_detection,disease_detection,leaf_blight,leaf_blight,1,1,0,10,5,355
